                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0804,                  13.28,                 4.0592,                      0,                      0,                      0,                      0,                 6.4231,                 12.259,                 4.1383,             0.00035007,             0.00035007,             0.00035007
                      2,                 4.0722,                 6.9535,                  3.674,                      0,                      0,                      0,                      0,                 6.4128,                 9.8342,                 4.1272,             0.00069653,             0.00069653,             0.00069653
                      3,                 3.0676,                 5.2889,                 2.5819,                      0,                      0,                      0,                      0,                 6.6912,                 11.857,                 5.0528,              0.0010223,              0.0010223,              0.0010223
                      4,                  2.604,                 4.4407,                 2.1596,                      0,                      0,                      0,                      0,                 5.5037,                 6.0786,                 3.5513,              0.0013272,              0.0013272,              0.0013272
                      5,                 2.4534,                 3.3362,                 2.0127,                      0,                      0,                      0,                      0,                 5.9582,                 7.7988,                  3.669,              0.0014784,              0.0014784,              0.0014784
                      6,                 2.4914,                 2.8124,                 1.9207,                 0.7102,                0.11531,                 0.1297,                0.04935,                 2.8956,                 4.0304,                 2.4775,              0.0014312,              0.0014312,              0.0014312
                      7,                 2.2117,                 2.2584,                 1.8381,                 0.3579,                0.40321,                 0.4728,                0.21326,                 2.2319,                 2.3807,                 1.9163,              0.0013841,              0.0013841,              0.0013841
                      8,                 2.0672,                 1.9384,                  1.675,                0.90745,                 0.4641,                0.68969,                0.33544,                 1.8051,                 1.7676,                 1.6273,              0.0013369,              0.0013369,              0.0013369
                      9,                  1.897,                 1.6887,                 1.5541,                0.54813,                0.77404,                0.60894,                0.30599,                 1.7785,                 1.8094,                 1.6179,              0.0012898,              0.0012898,              0.0012898
                     10,                 1.8414,                 1.6398,                 1.5421,                0.59212,                0.81403,                0.70595,                0.31279,                  1.774,                 1.7039,                 1.6544,              0.0012426,              0.0012426,              0.0012426
                     11,                  1.805,                 1.5523,                 1.5128,                0.63633,                0.77928,                0.71423,                0.32219,                 1.7713,                 1.4627,                 1.5505,              0.0011955,              0.0011955,              0.0011955
                     12,                 1.6649,                 1.4806,                 1.4314,                0.70125,                0.80383,                0.75604,                0.40269,                 1.4922,                 1.3894,                 1.4319,              0.0011483,              0.0011483,              0.0011483
                     13,                 1.7692,                 1.4216,                 1.4129,                0.72494,                0.76752,                0.78142,                0.34398,                 1.7266,                 1.4629,                 1.4652,              0.0011012,              0.0011012,              0.0011012
                     14,                 1.6574,                 1.4069,                 1.4089,                0.55711,                0.75829,                0.67892,                0.37995,                 1.5003,                 1.5231,                 1.3272,               0.001054,               0.001054,               0.001054
                     15,                 1.5553,                 1.2346,                 1.3232,                0.71219,                0.80309,                0.83468,                0.47121,                 1.4367,                  1.129,                 1.2958,              0.0010069,              0.0010069,              0.0010069
                     16,                 1.5229,                 1.2262,                 1.3062,                0.73032,                0.84837,                0.87055,                 0.5321,                  1.288,                 1.1545,                 1.2662,             0.00095972,             0.00095972,             0.00095972
                     17,                 1.3931,                 1.1238,                 1.2536,                0.80222,                 0.8775,                 0.8973,                 0.5154,                 1.3376,                 1.0609,                 1.2685,             0.00091256,             0.00091256,             0.00091256
                     18,                 1.4268,                 1.1465,                 1.2969,                0.78011,                 0.8634,                0.87666,                0.54837,                 1.1976,                 1.0364,                   1.24,             0.00086541,             0.00086541,             0.00086541
                     19,                 1.3265,                 1.0533,                 1.2135,                0.83509,                0.89103,                0.92111,                0.55163,                 1.2667,                 1.0534,                 1.2382,             0.00081826,             0.00081826,             0.00081826
                     20,                 1.3177,                0.99023,                 1.2031,                0.87935,                0.90113,                 0.9399,                0.57438,                 1.2584,                0.96432,                 1.1772,             0.00077111,             0.00077111,             0.00077111
                     21,                 1.2652,                 1.0012,                    1.2,                0.78607,                0.90305,                0.91353,                 0.5653,                 1.1882,                 1.0814,                 1.1587,             0.00072395,             0.00072395,             0.00072395
                     22,                 1.2947,                 1.0032,                  1.191,                0.83226,                0.89642,                 0.9034,                0.56107,                 1.2005,                 1.0116,                 1.1756,              0.0006768,              0.0006768,              0.0006768
                     23,                 1.3213,                0.98378,                 1.1699,                0.80243,                0.92254,                 0.9288,                0.55818,                 1.1678,                0.99012,                 1.1455,             0.00062965,             0.00062965,             0.00062965
                     24,                 1.2724,                0.95179,                 1.1512,                0.86553,                0.90633,                0.91702,                 0.5614,                 1.1588,                0.89387,                 1.1346,              0.0005825,              0.0005825,              0.0005825
                     25,                 1.2413,                0.94129,                 1.1554,                 0.8493,                0.89008,                0.92276,                0.56731,                 1.1304,                0.86524,                 1.1211,             0.00053535,             0.00053535,             0.00053535
                     26,                 1.1141,                 1.0635,                 1.1268,                0.87927,                0.91088,                0.93023,                0.58957,                 1.1405,                0.97372,                  1.101,             0.00048819,             0.00048819,             0.00048819
                     27,                 1.1189,                0.95443,                 1.1219,                0.86689,                0.90625,                0.92623,                0.58373,                 1.0755,                0.84497,                 1.0708,             0.00044104,             0.00044104,             0.00044104
                     28,                 1.1234,                0.94348,                 1.1468,                 0.8414,                0.88869,                0.91608,                0.61355,                 1.0607,                0.85773,                 1.0721,             0.00039389,             0.00039389,             0.00039389
                     29,                 1.0555,                0.90554,                 1.0999,                0.88381,                0.88045,                0.91841,                0.60235,                 1.0347,                0.82084,                 1.0603,             0.00034674,             0.00034674,             0.00034674
                     30,                 1.0347,                0.87619,                 1.0773,                0.90743,                0.90117,                0.94355,                 0.6212,                 1.0382,                0.82335,                 1.0574,             0.00029958,             0.00029958,             0.00029958
                     31,                 1.0324,                0.88883,                 1.0839,                0.88035,                0.88853,                0.93259,                 0.6172,                 1.0361,                0.83395,                  1.047,             0.00025243,             0.00025243,             0.00025243
