                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1093,                 10.872,                 4.1303,                      0,                      0,                      0,                      0,                 6.4044,                 9.0033,                 4.1498,             0.00020004,             0.00020004,             0.00020004
                      2,                 5.1441,                 7.2933,                 3.9304,                      0,                      0,                      0,                      0,                 6.3902,                 8.6793,                  4.129,             0.00040025,             0.00040025,             0.00040025
                      3,                 3.7061,                 5.7484,                 3.6129,                      0,                      0,                      0,                      0,                 6.4094,                 8.0246,                 4.1629,             0.00058329,             0.00058329,             0.00058329
                      4,                 2.7126,                 4.5034,                 2.6353,                      0,                      0,                      0,                      0,                 6.4273,                 7.4878,                 4.1997,             0.00074917,             0.00074917,             0.00074917
                      5,                 2.3267,                 3.3546,                 2.2278,                      0,                      0,                      0,                      0,                 6.4358,                 7.1977,                 4.2158,             0.00089789,             0.00089789,             0.00089789
                      6,                 2.2356,                 3.1563,                 2.0048,                      0,                      0,                      0,                      0,                 6.6766,                 7.9885,                  4.913,              0.0010294,              0.0010294,              0.0010294
                      7,                 1.9312,                 2.4858,                 1.8353,                      0,                      0,                      0,                      0,                 6.6567,                 7.8521,                 4.8405,              0.0011438,              0.0011438,              0.0011438
                      8,                 2.0403,                 2.5787,                 1.8271,                      0,                      0,                      0,                      0,                 6.5515,                 7.1589,                 4.4938,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.9119,                 2.3515,                 1.7577,                      0,                      0,                      0,                      0,                  6.519,                  7.355,                 4.4277,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.6717,                 1.9444,                 1.7146,                0.00359,                0.27976,                0.05409,                0.02629,                 3.1528,                 5.2861,                 2.7978,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.6256,                 1.7787,                 1.5827,                0.82388,                0.16369,                0.25135,                 0.1014,                  2.495,                 3.1338,                 1.9666,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.7565,                 1.7784,                 1.6316,                 0.9253,                0.44057,                0.46074,                0.27627,                 1.3992,                 1.8507,                 1.5991,             0.00094085,             0.00094085,             0.00094085
                     13,                    1.6,                 1.6105,                 1.4439,                0.96441,                0.46598,                0.48722,                0.29038,                 1.3856,                 1.5535,                 1.4319,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.5241,                 1.5185,                 1.4158,                0.97659,                0.48483,                0.49253,                0.32734,                 1.3179,                 1.7432,                  1.332,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.4945,                 1.4283,                 1.3916,                 0.9852,                0.48773,                0.49581,                0.33051,                 1.1687,                 1.2907,                 1.2814,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.2855,                 1.7644,                 1.4118,                0.98023,                0.47619,                0.49346,                 0.3033,                 1.2908,                 1.3041,                 1.3047,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2126,                 1.5618,                 1.4091,                0.97923,                0.48512,                0.49435,                0.34266,                 1.1671,                 1.2585,                 1.2325,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.1558,                 1.5032,                 1.3815,                0.98157,                0.49107,                 0.4957,                0.37477,                 1.0399,                 1.2348,                 1.1622,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.1177,                 1.4477,                 1.3191,                0.99078,                 0.4881,                0.49655,                0.38833,                0.99181,                 1.0667,                 1.1435,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.0878,                 1.3625,                 1.2842,                0.98253,                0.49107,                0.49602,                0.38638,                  1.009,                 1.0751,                 1.1399,             0.00041275,             0.00041275,             0.00041275
                     21,                  1.082,                 1.3411,                 1.2807,                0.98111,                0.49107,                0.49543,                0.38214,                 1.0054,                 1.0602,                 1.1331,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0292,                 1.2614,                 1.1922,                0.98586,                0.48512,                0.49585,                 0.3797,                0.95043,                0.98326,                 1.0849,             0.00028072,             0.00028072,             0.00028072
                     23,                0.97772,                  1.217,                 1.1571,                0.98599,                0.48214,                 0.4952,                0.40102,                0.87212,                0.95211,                  1.051,             0.00021471,             0.00021471,             0.00021471
                     24,                0.98231,                 1.1766,                 1.1834,                0.98458,                 0.4881,                0.49476,                0.40405,                0.86065,                0.94012,                 1.0638,              0.0001487,              0.0001487,              0.0001487
                     25,                0.95632,                 1.1914,                 1.1866,                0.98235,                0.48812,                0.49435,                0.39752,                0.86221,                 0.9535,                 1.0566,             8.2683e-05,             8.2683e-05,             8.2683e-05
