                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0683,                 13.069,                 4.0588,                      0,                      0,                      0,                      0,                 6.4252,                  12.16,                 4.1286,             0.00036674,             0.00036674,             0.00036674
                      2,                 3.8115,                 7.5348,                 3.5753,                      0,                      0,                      0,                      0,                 6.4344,                 9.7522,                 4.1484,             0.00074087,             0.00074087,             0.00074087
                      3,                 2.8812,                 5.0152,                 2.5672,                      0,                      0,                      0,                      0,                 6.5735,                 9.2646,                 4.4857,              0.0011055,              0.0011055,              0.0011055
                      4,                 2.4028,                 3.8469,                 2.0964,                      0,                      0,                      0,                      0,                 6.4424,                 8.3556,                 4.2119,              0.0014607,              0.0014607,              0.0014607
                      5,                 2.5284,                 3.1026,                 2.0753,                      0,                      0,                      0,                      0,                 4.8102,                 6.9888,                 3.2012,              0.0015845,              0.0015845,              0.0015845
                      6,                 2.5497,                 3.0459,                 1.9348,                0.70219,                    0.2,                0.18596,                0.05197,                 2.7048,                 3.1603,                 2.1732,              0.0015639,              0.0015639,              0.0015639
                      7,                 2.3051,                 2.4723,                 1.7998,                 0.4989,                0.57875,                 0.5562,                0.20484,                  2.132,                 2.2157,                 1.7636,              0.0015432,              0.0015432,              0.0015432
                      8,                 2.0667,                 1.9836,                 1.7143,                0.32052,                0.70262,                0.59406,                0.32939,                 1.8049,                 2.4739,                 1.5884,              0.0015226,              0.0015226,              0.0015226
                      9,                 2.0497,                 1.9037,                 1.6864,                0.63974,                0.75218,                0.68406,                 0.3906,                 1.5653,                 1.8573,                 1.4906,               0.001502,               0.001502,               0.001502
                     10,                 1.8196,                 1.7972,                 1.5655,                0.50011,                0.86598,                0.67964,                0.37258,                 1.6263,                 1.9662,                 1.5413,              0.0014813,              0.0014813,              0.0014813
                     11,                 1.8007,                 1.5834,                 1.4847,                0.60761,                0.72344,                0.72853,                 0.4319,                 1.5357,                 1.6693,                 1.3988,              0.0014607,              0.0014607,              0.0014607
                     12,                 1.7105,                 1.5023,                 1.4013,                0.64267,                0.78435,                0.70961,                0.43459,                 1.4051,                 1.3544,                  1.365,              0.0014401,              0.0014401,              0.0014401
                     13,                 1.6437,                 1.4306,                 1.3961,                0.59687,                0.77061,                0.74899,                0.40292,                  1.511,                 1.4285,                 1.4243,              0.0014195,              0.0014195,              0.0014195
                     14,                 1.6362,                 1.4113,                 1.3932,                0.74752,                0.81581,                0.79213,                0.45721,                 1.5141,                 1.2476,                 1.3451,              0.0013988,              0.0013988,              0.0013988
                     15,                 1.5403,                 1.2642,                 1.3306,                0.68522,                0.81627,                0.81927,                0.47308,                 1.3311,                 1.2511,                 1.2564,              0.0013782,              0.0013782,              0.0013782
                     16,                 1.4923,                 1.2173,                 1.3147,                  0.734,                 0.8307,                0.81373,                0.52398,                  1.234,                 1.0561,                 1.2244,              0.0013576,              0.0013576,              0.0013576
                     17,                 1.4601,                 1.2238,                 1.2839,                0.76913,                0.82772,                0.85076,                0.50901,                 1.3077,                 1.1021,                 1.2102,              0.0013369,              0.0013369,              0.0013369
                     18,                 1.4361,                 1.1658,                 1.2293,                0.78685,                0.83541,                0.86477,                 0.5174,                 1.2621,                 1.0477,                 1.1965,              0.0013163,              0.0013163,              0.0013163
                     19,                 1.4647,                 1.1918,                  1.263,                0.74104,                 0.8309,                0.79473,                0.44675,                 1.4263,                 1.1337,                 1.2468,              0.0012957,              0.0012957,              0.0012957
                     20,                 1.3562,                  1.133,                  1.205,                0.72632,                0.84906,                0.84334,                0.52873,                 1.2486,                0.98353,                 1.1618,               0.001275,               0.001275,               0.001275
                     21,                 1.3836,                 1.1018,                 1.2151,                0.80281,                0.86049,                0.85602,                0.55391,                 1.1117,                0.94582,                 1.1033,              0.0012544,              0.0012544,              0.0012544
                     22,                 1.3477,                 1.1121,                 1.1734,                0.76432,                0.82239,                 0.8604,                0.51807,                 1.2197,                  1.026,                 1.1358,              0.0012338,              0.0012338,              0.0012338
                     23,                 1.3877,                  1.046,                 1.1632,                0.59725,                0.80174,                  0.806,                0.52288,                 1.2028,                 1.4439,                 1.1081,              0.0012132,              0.0012132,              0.0012132
                     24,                 1.3285,                 1.0198,                 1.1955,                0.79518,                0.91961,                0.91503,                0.58215,                 1.0569,                0.85609,                 1.0926,              0.0011925,              0.0011925,              0.0011925
                     25,                 1.3124,                 1.0139,                 1.1535,                0.71194,                0.84256,                0.78887,                0.49341,                 1.2654,                 1.1659,                 1.1665,              0.0011719,              0.0011719,              0.0011719
                     26,                  1.279,                 0.9571,                 1.1346,                0.85463,                0.86568,                0.90422,                0.57415,                 1.1539,                0.90906,                 1.0897,              0.0011513,              0.0011513,              0.0011513
                     27,                 1.2425,                0.89809,                 1.1075,                0.76039,                 0.8741,                0.85902,                0.54719,                 1.1332,                 0.8758,                 1.0745,              0.0011306,              0.0011306,              0.0011306
                     28,                 1.3592,                0.94223,                 1.1391,                0.88028,                0.87908,                0.93668,                0.56709,                 1.2072,                0.85229,                 1.0611,                0.00111,                0.00111,                0.00111
                     29,                 1.3122,                 0.9119,                 1.1237,                0.79468,                0.81479,                0.88164,                0.53889,                 1.2186,                0.98246,                 1.1045,              0.0010894,              0.0010894,              0.0010894
                     30,                 1.2715,                0.88799,                 1.1032,                0.83075,                0.88895,                0.92884,                0.62322,                 1.0156,                0.79261,                 1.0322,              0.0010688,              0.0010688,              0.0010688
                     31,                   1.24,                0.92944,                 1.1045,                0.78319,                0.92263,                0.90384,                 0.5837,                 1.0552,                0.82433,                 1.0216,              0.0010481,              0.0010481,              0.0010481
                     32,                 1.1661,                0.85638,                 1.0885,                0.86712,                0.90976,                0.94105,                0.63147,                0.95126,                0.83166,                0.99968,              0.0010275,              0.0010275,              0.0010275
                     33,                 1.1639,                0.84288,                 1.0756,                0.84396,                0.93136,                0.92611,                0.59239,                 1.0566,                0.86546,                 1.0228,              0.0010069,              0.0010069,              0.0010069
                     34,                 1.1623,                0.87136,                 1.0618,                0.88982,                0.84768,                 0.9401,                0.57895,                 1.1973,                 0.9096,                 1.0703,             0.00098624,             0.00098624,             0.00098624
                     35,                 1.1738,                0.85402,                  1.053,                0.86072,                0.92591,                0.95385,                0.62665,                 1.0049,                0.75921,                0.99697,             0.00096561,             0.00096561,             0.00096561
                     36,                 1.1796,                0.84843,                  1.065,                0.85393,                0.95639,                0.97027,                0.65501,                0.97723,                0.74608,                0.99668,             0.00094498,             0.00094498,             0.00094498
                     37,                 1.1433,                0.81933,                 1.0456,                0.84146,                0.92017,                0.88297,                0.57624,                 1.0452,                0.80296,                 1.0038,             0.00092435,             0.00092435,             0.00092435
                     38,                 1.1387,                0.82578,                  1.049,                0.87847,                 0.8938,                0.94236,                0.59557,                 1.1657,                0.89685,                 1.0196,             0.00090372,             0.00090372,             0.00090372
                     39,                 1.1135,                0.79359,                 1.0403,                0.81651,                0.90146,                0.88226,                 0.5955,                0.97485,                0.76238,                0.97576,             0.00088309,             0.00088309,             0.00088309
                     40,                 1.1459,                0.78218,                 1.0403,                0.91011,                0.93398,                 0.9657,                0.64704,                0.99658,                0.73131,                0.97874,             0.00086246,             0.00086246,             0.00086246
                     41,                 1.1568,                0.80086,                   1.04,                0.86737,                0.92391,                0.94832,                0.62053,                  1.039,                0.73323,                0.98745,             0.00084184,             0.00084184,             0.00084184
                     42,                 1.1174,                0.77339,                 1.0382,                0.87138,                0.93827,                0.93113,                0.63095,                0.97017,                0.74224,                0.97465,             0.00082121,             0.00082121,             0.00082121
                     43,                 1.0943,                0.74764,                 1.0316,                0.87959,                0.91733,                0.93275,                0.64765,                 0.9377,                0.71895,                0.95572,             0.00080058,             0.00080058,             0.00080058
                     44,                 1.0928,                0.76593,                 1.0268,                0.84752,                 0.9031,                 0.9442,                0.63704,                0.97211,                0.76464,                0.96942,             0.00077995,             0.00077995,             0.00077995
                     45,                 1.0332,                0.75329,                 1.0023,                0.91287,                0.94994,                0.97214,                 0.6676,                0.97131,                 0.7452,                0.95925,             0.00075932,             0.00075932,             0.00075932
