                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0308,                 12.137,                 3.9673,                      0,                      0,                      0,                      0,                 6.4219,                 11.415,                 4.1243,              0.0003334,              0.0003334,              0.0003334
                      2,                 3.9721,                 6.3639,                  3.165,                      0,                      0,                      0,                      0,                 6.4653,                 9.6325,                 4.2374,             0.00066994,             0.00066994,             0.00066994
                      3,                 2.8947,                 4.3397,                 2.5596,                      0,                      0,                      0,                      0,                 6.5806,                 9.1926,                 4.5889,             0.00099261,             0.00099261,             0.00099261
                      4,                 2.6114,                 3.4135,                 2.2423,                      0,                      0,                      0,                      0,                 6.5607,                 8.6712,                 4.5317,              0.0013014,              0.0013014,              0.0013014
                      5,                 2.4466,                  2.727,                 2.1436,                      0,                      0,                      0,                      0,                 6.5883,                 9.1174,                 4.6321,               0.001535,               0.001535,               0.001535
                      6,                 2.4153,                 2.5548,                 2.0093,                0.87064,                0.42395,                 0.4001,                 0.2015,                  2.215,                 2.2058,                 1.9802,               0.001502,               0.001502,               0.001502
                      7,                 2.1981,                 1.9387,                 1.7566,                0.41413,                 0.3801,                0.41831,                0.21583,                 2.3062,                 2.4939,                 2.1823,               0.001469,               0.001469,               0.001469
                      8,                 2.0867,                 1.7574,                 1.6812,                0.94063,                0.44643,                0.54778,                0.26815,                 1.9705,                 1.4679,                 1.7558,               0.001436,               0.001436,               0.001436
                      9,                 1.8837,                 1.5527,                 1.5805,                0.41455,                0.68407,                0.62026,                0.31192,                 1.7698,                 1.7463,                 1.5197,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.9035,                 1.4912,                 1.5347,                0.47479,                0.63462,                0.58526,                0.33203,                  1.621,                 1.4275,                 1.4106,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.8005,                 1.3603,                 1.4579,                0.54141,                0.64619,                0.65064,                0.32888,                 1.7659,                 1.3393,                 1.5137,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.7214,                 1.2708,                 1.4452,                0.63067,                 0.7464,                0.73772,                0.32944,                 1.8279,                 1.4279,                 1.5807,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.6947,                 1.2338,                 1.4044,                0.65872,                0.82476,                0.77595,                0.42102,                 1.5113,                 1.1595,                 1.3542,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.5196,                 1.1584,                 1.3036,                0.66833,                 0.7916,                0.77378,                0.45605,                 1.3693,                 1.0602,                 1.2585,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.4697,                  1.179,                 1.2896,                0.58388,                0.83664,                0.81734,                0.47634,                 1.2827,                 1.2458,                 1.2102,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.5393,                 1.1598,                 1.3407,                0.71538,                0.89874,                 0.8335,                0.41309,                  1.595,                 1.1378,                 1.3211,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.4685,                 1.1081,                 1.2968,                0.75543,                0.87076,                0.87739,                 0.5251,                  1.258,                 1.0605,                 1.2315,              0.0011389,              0.0011389,              0.0011389
                     18,                  1.514,                 1.1689,                 1.2996,                 0.7075,                0.79649,                0.74661,                0.46546,                 1.3177,                0.97022,                 1.2557,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.3482,                 1.0358,                 1.2393,                 0.7851,                0.82123,                0.87481,                0.52099,                 1.3489,                  1.235,                 1.3029,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.3634,                 1.0473,                 1.2008,                0.75685,                0.91582,                0.87249,                0.52732,                 1.2102,                0.91782,                 1.1887,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.3601,                0.97236,                 1.1932,                0.73716,                0.89262,                0.84853,                0.52435,                 1.1678,                0.86678,                 1.1619,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.3006,                 0.9436,                 1.1821,                0.75344,                0.90797,                0.86545,                0.54255,                 1.1385,                0.87878,                  1.153,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2615,                0.89744,                 1.1709,                0.72514,                0.86597,                 0.8683,                0.54719,                 1.2058,                0.94926,                 1.1462,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2312,                0.89951,                 1.1436,                0.81855,                0.88648,                0.90596,                0.60341,                 1.0083,                0.85493,                 1.0929,             0.00090785,             0.00090785,             0.00090785
                     25,                  1.227,                0.88893,                 1.1166,                0.80255,                0.89269,                 0.9064,                0.56046,                 1.1669,                0.84776,                 1.1402,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.2529,                0.87651,                 1.1413,                0.82403,                0.92347,                0.94642,                0.58576,                  1.195,                0.86686,                 1.1159,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.2421,                0.84664,                 1.1127,                0.81378,                0.87898,                0.88718,                0.54589,                 1.1401,                0.83123,                 1.1059,             0.00080883,             0.00080883,             0.00080883
